project_id,camera_id,camera_name,make,model,serial_number,year_purchased
2007122,2098849,camera11,,,,
2007122,2098850,camera05,,,,
2007122,2098851,camera01,,,,
2007122,2098852,camera04,,,,
2007122,2098853,camera15,,,,
2007122,2098854,camera23,,,,
2007122,2098855,camera13,,,,
2007122,2098856,camera06,,,,
2007122,2098857,camera02,,,,
2007122,2098858,camera03,,,,
2007122,2098859,cameraB8V,,,,
2007122,2098860,camera22,,,,
2007122,2098923,cameraR4,,,,
2007122,2098924,cameraR2,,,,
2007122,2098925,camera39,,,,
2007122,2098926,camera30,,,,
2007122,2098927,camera31,,,,
2007122,2098928,camera36,,,,
2007122,2098929,camera26,,,,
2007122,2098930,camera16,,,,
2007122,2098952,cameraR3,,,,
2007122,2098953,camera21,,,,
2007122,2098954,cameraXX,,,,